id,snapshot_date,total_value,cash_balance,holdings_value,long_term_value,swing_value,daily_pnl,daily_pnl_pct,total_pnl,total_pnl_pct,max_drawdown,sharpe_ratio,win_rate,open_positions,long_term_positions,swing_positions,created_at
1,2026-02-09,100000.00,72996.97,27003.03,0.00,27003.03,0.00,0.0000,0.00,0.0000,,,,6,0,6,2026-02-09 02:00:17.644952+00
2,2026-02-10,99876.23,72996.97,26879.26,0.00,26879.26,-380.29,-0.0038,-123.77,-0.0012,,,,6,0,6,2026-02-10 14:01:31.184327+00
4,2026-02-11,99876.43,67273.61,32602.82,0.00,32602.82,0.20,0.0000,-123.57,-0.0012,,,,7,0,7,2026-02-11 14:01:24.324073+00
5,2026-02-12,100035.90,31215.33,68820.57,40431.92,28388.65,1.62,0.0000,35.90,0.0004,,,0.0000,12,6,6,2026-02-12 00:30:59.00654+00
8,2026-02-13,98904.82,24673.13,74231.69,39809.23,34422.46,-1131.08,-0.0113,-1095.18,-0.0110,,,0.0000,13,6,7,2026-02-13 14:01:26.576329+00
9,2026-02-17,98931.63,31067.63,67864.00,33096.56,34767.44,26.81,0.0003,-1068.37,-0.0107,,,0.0000,12,5,7,2026-02-17 14:01:24.287517+00
10,2026-02-18,98637.77,31067.63,67570.14,32945.14,34625.00,-293.86,-0.0030,-1362.23,-0.0136,,,0.0000,12,5,7,2026-02-18 14:01:21.200553+00
11,2026-02-19,98838.65,31067.63,67771.02,33105.58,34665.44,200.88,0.0020,-1161.35,-0.0116,,,0.0000,12,5,7,2026-02-19 14:01:09.321468+00
12,2026-02-20,98825.45,31067.63,67757.82,33133.98,34623.84,-13.20,-0.0001,-1174.55,-0.0117,,,0.0000,12,5,7,2026-02-20 14:00:47.545508+00
13,2026-02-24,98615.85,37285.27,61330.58,26706.74,34623.84,-209.60,-0.0021,-1384.15,-0.0138,,,0.0000,11,4,7,2026-02-24 14:00:32.308721+00
14,2026-02-25,98454.21,30416.69,68037.52,33413.68,34623.84,-161.64,-0.0016,-1545.79,-0.0155,,,0.0000,12,5,7,2026-02-25 14:00:32.775922+00
15,2026-02-26,98734.50,30416.69,68317.81,33693.97,34623.84,280.29,0.0028,-1265.50,-0.0127,,,0.0000,12,5,7,2026-02-26 14:00:31.606111+00
16,2026-02-27,98089.62,30416.69,67672.93,33049.09,34623.84,-644.88,-0.0065,-1910.38,-0.0191,,,0.0000,12,5,7,2026-02-27 14:00:33.955103+00
17,2026-03-03,97852.22,30416.69,67435.53,32811.69,34623.84,-237.40,-0.0024,-2147.78,-0.0215,,,0.0000,12,5,7,2026-03-03 14:00:34.138801+00
18,2026-03-04,97527.74,36693.49,60834.25,26210.41,34623.84,-324.48,-0.0033,-2472.26,-0.0247,,,0.0000,11,4,7,2026-03-04 14:00:32.51176+00
19,2026-03-05,97758.44,30025.36,67733.08,33109.24,34623.84,230.70,0.0024,-2241.56,-0.0224,,,0.0000,12,5,7,2026-03-05 14:00:35.372479+00
20,2026-03-06,98031.66,30025.36,68006.30,33382.46,34623.84,273.22,0.0028,-1968.34,-0.0197,,,0.0000,12,5,7,2026-03-06 14:00:33.788102+00
21,2026-03-10,98367.14,30025.36,68341.78,33717.94,34623.84,335.48,0.0034,-1632.86,-0.0163,,,0.0000,12,5,7,2026-03-10 14:00:32.878556+00
22,2026-03-11,99286.15,30025.36,69260.79,34636.95,34623.84,919.01,0.0093,-713.85,-0.0071,,,0.0000,12,5,7,2026-03-11 14:00:34.32589+00
23,2026-03-12,98585.79,30025.36,68560.43,33936.59,34623.84,-700.36,-0.0071,-1414.21,-0.0141,,,0.0000,12,5,7,2026-03-12 14:00:35.157834+00
24,2026-03-13,98583.26,30025.36,68557.90,33934.06,34623.84,-2.53,0.0000,-1416.74,-0.0142,,,0.0000,12,5,7,2026-03-13 14:00:34.05902+00
25,2026-03-17,98044.70,30025.36,68019.34,33395.50,34623.84,-538.56,-0.0055,-1955.30,-0.0196,,,0.0000,12,5,7,2026-03-17 14:00:22.851305+00
26,2026-03-18,97519.95,35494.24,62025.71,27401.87,34623.84,-524.75,-0.0054,-2480.05,-0.0248,,,0.0000,11,4,7,2026-03-18 14:00:18.905997+00
27,2026-03-19,97063.07,29073.28,67989.79,33365.95,34623.84,-456.88,-0.0047,-2936.93,-0.0294,,,0.0000,12,5,7,2026-03-19 14:00:31.617881+00
28,2026-04-02,96242.82,35332.24,60910.58,26286.74,34623.84,-820.25,-0.0085,-3757.18,-0.0376,,,0.0000,11,4,7,2026-04-02 14:04:21.80998+00
